filenum,day
48114, agora-forums
  383, agora-forums/2014-07-17
   40, agora-forums/2014-11-06
  182, agora-forums/2015-06-15
  226, agora-forums/2014-11-11
  223, agora-forums/2014-05-14
  401, agora-forums/2015-03-19
  230, agora-forums/2014-04-27
  199, agora-forums/2015-06-26
  406, agora-forums/2015-01-06
  683, agora-forums/2015-02-03
  286, agora-forums/2014-06-01
  535, agora-forums/2014-11-18
  308, agora-forums/2015-04-25
   23, agora-forums/2014-05-28
  147, agora-forums/2015-03-22
   95, agora-forums/2015-02-22
  177, agora-forums/2015-05-01
  490, agora-forums/2015-01-14
  441, agora-forums/2014-09-14
  241, agora-forums/2015-02-19
  428, agora-forums/2014-12-06
  166, agora-forums/2015-05-17
  211, agora-forums/2015-04-23
  113, agora-forums/2015-06-12
  269, agora-forums/2015-04-13
 1437, agora-forums/2014-12-24
  122, agora-forums/2015-06-01
  259, agora-forums/2015-04-10
  105, agora-forums/2014-03-19
  552, agora-forums/2014-12-02
   24, agora-forums/2014-08-05
  259, agora-forums/2014-06-23
   19, agora-forums/2014-08-18
  152, agora-forums/2015-05-05
  731, agora-forums/2014-12-09
  558, agora-forums/2014-12-28
  208, agora-forums/2015-05-27
 1379, agora-forums/2014-12-05
 1398, agora-forums/2014-12-12
  197, agora-forums/2014-04-05
 1172, agora-forums/2014-10-20
  103, agora-forums/2015-06-04
  385, agora-forums/2015-04-04
   14, agora-forums/2014-01-02
 1047, agora-forums/2015-03-16
  179, agora-forums/2015-02-02
   25, agora-forums/2014-01-26
  233, agora-forums/2015-06-20
  415, agora-forums/2014-08-28
  226, agora-forums/2015-04-05
  121, agora-forums/2015-05-28
   18, agora-forums/2014-07-05
  198, agora-forums/2015-02-05
  120, agora-forums/2014-05-30
  410, agora-forums/2014-08-20
  109, agora-forums/2014-10-17
 1691, agora-forums/2015-02-17
  120, agora-forums/2014-07-30
   29, agora-forums/2014-02-05
  420, agora-forums/2014-09-02
  390, agora-forums/2014-10-29
   73, agora-forums/2014-09-28
  207, agora-forums/2015-04-30
  377, agora-forums/2015-05-10
   31, agora-forums/2014-02-10
   50, agora-forums/2014-02-24
  170, agora-forums/2014-11-19
  275, agora-forums/2015-04-14
  133, agora-forums/2014-09-26
  576, agora-forums/2014-11-10
   20, agora-forums/2014-01-16
  190, agora-forums/2015-05-15
  587, agora-forums/2014-12-20
  247, agora-forums/2015-02-11
  794, agora-forums/2014-11-14
  108, agora-forums/2014-06-10
  212, agora-forums/2014-11-29
   54, agora-forums/2014-11-21
  427, agora-forums/2014-11-07
  568, agora-forums/2014-12-15
 1167, agora-forums/2014-10-23
  245, agora-forums/2014-05-24
  236, agora-forums/2014-12-26
  496, agora-forums/2015-04-17
 1281, agora-forums/2015-01-04
 1436, agora-forums/2014-12-17
   94, agora-forums/2015-06-02
    6, agora-forums/2015-04-19
  555, agora-forums/2015-01-29
  339, agora-forums/2015-04-09
 1126, agora-forums/2014-11-13
  157, agora-forums/2014-05-10
   70, agora-forums/2015-04-18
  983, agora-forums/2014-12-01
  713, agora-forums/2014-11-15
  134, agora-forums/2014-06-04
 1151, agora-forums/2014-12-30
   23, agora-forums/2014-06-09
  129, agora-forums/2015-05-06
  507, agora-forums/2015-03-07
  239, agora-forums/2015-05-03
  177, agora-forums/2015-01-16
  183, agora-forums/2015-06-28
  426, agora-forums/2014-07-29
   69, agora-forums/2015-01-15
   55, agora-forums/2014-02-23
  414, agora-forums/2014-11-08
  210, agora-forums/2015-04-07
  102, agora-forums/2015-01-07
   26, agora-forums/2014-02-03
  381, agora-forums/2014-07-25
   47, agora-forums/2015-04-22
   48, agora-forums/2014-02-19
   39, agora-forums/2015-07-01
  596, agora-forums/2014-11-16
  255, agora-forums/2014-12-21
  477, agora-forums/2015-02-09
  277, agora-forums/2015-04-12
  274, agora-forums/2014-08-11
  134, agora-forums/2015-06-30
  109, agora-forums/2015-07-06
  447, agora-forums/2014-09-22
  133, agora-forums/2015-05-31
  368, agora-forums/2014-08-25
  609, agora-forums/2015-01-24
   16, agora-forums/2014-01-09
  438, agora-forums/2014-08-02
  203, agora-forums/2015-04-27
  209, agora-forums/2015-05-11
  247, agora-forums/2014-09-08
  168, agora-forums/2015-02-01
  154, agora-forums/2015-05-29
  719, agora-forums/2015-02-21
  549, agora-forums/2014-10-04
   99, agora-forums/2014-12-07
  157, agora-forums/2015-06-22
   74, agora-forums/2014-03-08
  144, agora-forums/2015-06-11
  219, agora-forums/2014-04-24
  225, agora-forums/2015-06-07
  511, agora-forums/2015-01-21
  211, agora-forums/2014-04-16
