date,price
"Sep 21, 2015",231.22
"Sep 20, 2015",231.4
"Sep 19, 2015",232.86
"Sep 18, 2015",233.52
"Sep 17, 2015",229.08
"Sep 16, 2015",230.25
"Sep 15, 2015",230.49
"Sep 14, 2015",230.61
"Sep 13, 2015",235.24
"Sep 12, 2015",239.85
"Sep 11, 2015",238.33
"Sep 10, 2015",238.34
"Sep 09, 2015",243.41
"Sep 08, 2015",239.85
"Sep 07, 2015",239.93
"Sep 06, 2015",234.87
"Sep 05, 2015",230.2
"Sep 04, 2015",227.21
"Sep 03, 2015",229.32
"Sep 02, 2015",228.03
"Sep 01, 2015",230.26
"Aug 31, 2015",229.11
"Aug 30, 2015",229.9
"Aug 29, 2015",231.55
"Aug 28, 2015",224.7
"Aug 27, 2015",226.05
"Aug 26, 2015",222.08
"Aug 25, 2015",210.07
"Aug 24, 2015",228.11
"Aug 23, 2015",230.38
"Aug 22, 2015",232.66
"Aug 21, 2015",235.35
"Aug 20, 2015",226.9
"Aug 19, 2015",225.67
"Aug 18, 2015",257.93
"Aug 17, 2015",258.49
"Aug 16, 2015",261.87
"Aug 15, 2015",265.53
"Aug 14, 2015",264.13
"Aug 13, 2015",266.18
"Aug 12, 2015",270.6
"Aug 11, 2015",264.34
"Aug 10, 2015",265.48
"Aug 09, 2015",261.12
"Aug 08, 2015",279.74
"Aug 07, 2015",278.74
"Aug 06, 2015",281.91
"Aug 05, 2015",284.85
"Aug 04, 2015",281.23
"Aug 03, 2015",282.81
"Aug 02, 2015",280.45
"Aug 01, 2015",284.69
"Jul 31, 2015",287.7
"Jul 30, 2015",289.1
"Jul 29, 2015",294.48
"Jul 28, 2015",293.63
"Jul 27, 2015",292.64
"Jul 26, 2015",288.64
"Jul 25, 2015",288.16
"Jul 24, 2015",276.01
"Jul 23, 2015",277.34
"Jul 22, 2015",275.66
"Jul 21, 2015",278.88
"Jul 20, 2015",273.5
"Jul 19, 2015",274.77
"Jul 18, 2015",279.33
"Jul 17, 2015",278.09
"Jul 16, 2015",286.04
"Jul 15, 2015",288.05
"Jul 14, 2015",292.03
"Jul 13, 2015",310.83
"Jul 12, 2015",293.14
"Jul 11, 2015",284.88
"Jul 10, 2015",269.16
"Jul 09, 2015",270.83
"Jul 08, 2015",265.98
"Jul 07, 2015",269.96
"Jul 06, 2015",271.11
"Jul 05, 2015",260.8
"Jul 04, 2015",256.49
"Jul 03, 2015",255.46
"Jul 02, 2015",258.55
"Jul 01, 2015",263.35
"Jun 30, 2015",257.04
"Jun 29, 2015",248.72
"Jun 28, 2015",250.96
"Jun 27, 2015",243.55
"Jun 26, 2015",242.6
"Jun 25, 2015",240.37
"Jun 24, 2015",244.28
"Jun 23, 2015",246.93
"Jun 22, 2015",243.97
"Jun 21, 2015",245.1
"Jun 20, 2015",244.53
"Jun 19, 2015",249.04
"Jun 18, 2015",249.43
"Jun 17, 2015",250.82
"Jun 16, 2015",236.76
"Jun 15, 2015",233.42
"Jun 14, 2015",232.44
"Jun 13, 2015",229.92
"Jun 12, 2015",229.71
"Jun 11, 2015",228.85
"Jun 10, 2015",228.99
"Jun 09, 2015",228.54
"Jun 08, 2015",222.88
"Jun 07, 2015",225.6
"Jun 06, 2015",225.01
"Jun 05, 2015",224.15
"Jun 04, 2015",225.77
"Jun 03, 2015",225.74
"Jun 02, 2015",222.89
"Jun 01, 2015",230.23
"May 31, 2015",233.13
"May 30, 2015",237.09
"May 29, 2015",237.38
"May 28, 2015",237.26
"May 27, 2015",237.07
"May 26, 2015",237.1
"May 25, 2015",240.93
"May 24, 2015",238.98
"May 23, 2015",240.29
"May 22, 2015",235.32
"May 21, 2015",234.02
"May 20, 2015",231.89
"May 19, 2015",233.04
"May 18, 2015",236.89
"May 17, 2015",236.01
"May 16, 2015",237.64
"May 15, 2015",236.96
"May 14, 2015",236.21
"May 13, 2015",241.4
"May 12, 2015",242.15
"May 11, 2015",240.3
"May 10, 2015",241.73
"May 09, 2015",243.77
"May 08, 2015",237.2
"May 07, 2015",229.66
"May 06, 2015",236.25
"May 05, 2015",238.85
"May 04, 2015",240.36
"May 03, 2015",234.88
"May 02, 2015",232.34
"May 01, 2015",235.94
"Apr 30, 2015",225.69
"Apr 29, 2015",225.59
"Apr 28, 2015",228.97
"Apr 27, 2015",219.43
"Apr 26, 2015",226.41
"Apr 25, 2015",231.24
"Apr 24, 2015",235.97
"Apr 23, 2015",234.05
"Apr 22, 2015",235.6
"Apr 21, 2015",224.62
"Apr 20, 2015",222.61
"Apr 19, 2015",223.46
"Apr 18, 2015",222.85
"Apr 17, 2015",228.57
"Apr 16, 2015",223.92
"Apr 15, 2015",219.07
"Apr 14, 2015",224.76
"Apr 13, 2015",235.95
"Apr 12, 2015",236.54
"Apr 11, 2015",236.02
"Apr 10, 2015",243.69
"Apr 09, 2015",244.75
"Apr 08, 2015",253.06
"Apr 07, 2015",255.27
"Apr 06, 2015",260.72
"Apr 05, 2015",253.76
"Apr 04, 2015",254.29
"Apr 03, 2015",253.07
"Apr 02, 2015",247.09
"Apr 01, 2015",244.22
"Mar 31, 2015",247.45
"Mar 30, 2015",242.88
"Mar 29, 2015",252.74
"Mar 28, 2015",246.98
"Mar 27, 2015",248.57
"Mar 26, 2015",246.28
"Mar 25, 2015",247.47
"Mar 24, 2015",266.58
"Mar 23, 2015",267.89
"Mar 22, 2015",259.92
"Mar 21, 2015",261.64
"Mar 20, 2015",260.96
"Mar 19, 2015",255.88
"Mar 18, 2015",285.07
"Mar 17, 2015",290.6
"Mar 16, 2015",285.68
"Mar 15, 2015",281.42
"Mar 14, 2015",284.44
"Mar 13, 2015",294.12
"Mar 12, 2015",296.13
"Mar 11, 2015",291.52
"Mar 10, 2015",289.86
"Mar 09, 2015",274.81
"Mar 08, 2015",276.43
"Mar 07, 2015",272.29
"Mar 06, 2015",275.6
"Mar 05, 2015",272.74
"Mar 04, 2015",281.99
"Mar 03, 2015",275.05
"Mar 02, 2015",260.36
"Mar 01, 2015",254.28
"Feb 28, 2015",253.52
"Feb 27, 2015",236.44
"Feb 26, 2015",237.34
"Feb 25, 2015",238.89
"Feb 24, 2015",239
"Feb 23, 2015",235.99
"Feb 22, 2015",244.54
"Feb 21, 2015",243.75
"Feb 20, 2015",240.25
"Feb 19, 2015",236.41
"Feb 18, 2015",243.78
"Feb 17, 2015",233.42
"Feb 16, 2015",234.82
"Feb 15, 2015",257.51
"Feb 14, 2015",235.53
"Feb 13, 2015",221.97
"Feb 12, 2015",219.21
"Feb 11, 2015",219.73
"Feb 10, 2015",220.28
"Feb 09, 2015",223.39
"Feb 08, 2015",227.69
"Feb 07, 2015",222.63
"Feb 06, 2015",216.92
"Feb 05, 2015",227.66
"Feb 04, 2015",227.51
"Feb 03, 2015",237.45
"Feb 02, 2015",226.49
"Feb 01, 2015",216.87
"Jan 31, 2015",226.44
"Jan 30, 2015",232.77
"Jan 29, 2015",233.35
"Jan 28, 2015",263.35
"Jan 27, 2015",273.17
"Jan 26, 2015",254.08
"Jan 25, 2015",247.35
"Jan 24, 2015",232.7
"Jan 23, 2015",233.52
"Jan 22, 2015",227.32
"Jan 21, 2015",211.38
"Jan 20, 2015",212.91
"Jan 19, 2015",211.47
"Jan 18, 2015",200.05
"Jan 17, 2015",207.83
"Jan 16, 2015",209.07
"Jan 15, 2015",176.9
"Jan 14, 2015",223.89
"Jan 13, 2015",267.39
"Jan 12, 2015",266.15
"Jan 11, 2015",274.61
"Jan 10, 2015",287.3
"Jan 09, 2015",282.38
"Jan 08, 2015",294.14
"Jan 07, 2015",286.08
"Jan 06, 2015",274.61
"Jan 05, 2015",265.08
"Jan 04, 2015",281.15
"Jan 03, 2015",314.85
"Jan 02, 2015",314.08
"Jan 01, 2015",320.43
"Dec 31, 2014",310.91
"Dec 30, 2014",312.72
"Dec 29, 2014",317.7
"Dec 28, 2014",316.16
"Dec 27, 2014",327.58
"Dec 26, 2014",319.15
"Dec 25, 2014",322.29
"Dec 24, 2014",334.39
"Dec 23, 2014",332.02
"Dec 22, 2014",321.07
"Dec 21, 2014",329.54
"Dec 20, 2014",317.62
"Dec 19, 2014",311.18
"Dec 18, 2014",319.79
"Dec 17, 2014",326.86
"Dec 16, 2014",345.67
"Dec 15, 2014",351.36
"Dec 14, 2014",346.73
"Dec 13, 2014",352.38
"Dec 12, 2014",350.83
"Dec 11, 2014",344.34
"Dec 10, 2014",352.2
"Dec 09, 2014",361.89
"Dec 08, 2014",374.96
"Dec 07, 2014",374.84
"Dec 06, 2014",376.76
"Dec 05, 2014",369.44
"Dec 04, 2014",375.72
"Dec 03, 2014",381.72
"Dec 02, 2014",379.25
"Dec 01, 2014",378.25
"Nov 30, 2014",375.51
"Nov 29, 2014",376.15
"Nov 28, 2014",369.37
"Nov 27, 2014",370.5
"Nov 26, 2014",376.02
"Nov 25, 2014",376.89
"Nov 24, 2014",366.95
"Nov 23, 2014",353.17
"Nov 22, 2014",351.6
"Nov 21, 2014",357.88
"Nov 20, 2014",380.31
"Nov 19, 2014",373.9
"Nov 18, 2014",387.79
"Nov 17, 2014",388.35
"Nov 16, 2014",374.73
"Nov 15, 2014",399.65
"Nov 14, 2014",418.42
"Nov 13, 2014",427.27
"Nov 12, 2014",367.98
"Nov 11, 2014",365.86
"Nov 10, 2014",362.27
"Nov 09, 2014",345.38
"Nov 08, 2014",342.15
"Nov 07, 2014",349.82
"Nov 06, 2014",339.46
"Nov 05, 2014",330.68
"Nov 04, 2014",327.16
"Nov 03, 2014",325.57
"Nov 02, 2014",326.08
"Nov 01, 2014",338.65
"Oct 31, 2014",345.01
"Oct 30, 2014",335.71
"Oct 29, 2014",357.09
"Oct 28, 2014",353.21
"Oct 27, 2014",354.78
"Oct 26, 2014",347.49
"Oct 25, 2014",358.61
"Oct 24, 2014",358.59
"Oct 23, 2014",382.96
"Oct 22, 2014",386.12
"Oct 21, 2014",382.42
"Oct 20, 2014",389.23
"Oct 19, 2014",391.25
