vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,two_mkt,three_mkt,all_mkt,ag_only,hamming_SR,hamming_evo,hamming_c9,h_three_mkt,h_two_mkt,h_all_mkt,h_ag_only
uknextday,2014-04-06,2015-07-07, 2014-06-09, 2015-01-09,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1
chemsdirect,2015-06-20,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
chess,2014-02-23,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
hulken,2015-06-12,2015-06-26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
perfectscans,2014-01-01,2015-06-30, 2014-06-09, 2015-03-26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1
gotmilk,2014-02-05,2015-07-07, 2014-06-25, 2015-03-26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1
alisdrugstore,2015-05-31,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
discover,2014-02-02,2015-07-07, 2014-06-09, 2015-03-26,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1
bigskybuds,2014-07-18,2015-06-30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
~bigboy,2014-06-22,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
carlbildt,2014-02-23,2015-07-07,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1
colocures,2014-12-06,2015-07-07, 2015-02-21, 2015-03-24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
bigralphexpress,2015-02-28,2015-07-07, 2015-02-21, 2015-03-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
windowsmoke,2015-06-01,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
stardockgalix,2014-01-01,2015-07-07, 2014-06-20, 2015-01-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
maxhavelaar,2014-01-01,2015-07-07, 2014-06-09, 2015-01-09,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1
elangaba,2015-06-20,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
fungusamongus,2015-03-29,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
qualitydrugs,2015-04-13,2015-07-07,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
2cbking,2015-04-23,2015-07-07, 2015-03-15, 2015-03-26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
c8n,2015-02-24,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
walter_white,2014-04-06,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
terragreen,2015-01-26,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
thewolfofdarknet,2015-03-25,2015-07-07, 2014-08-06, 2015-03-26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
fulltime,2015-03-10,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
calisfinest,2014-12-06,2015-06-30, 2014-11-27, 2015-03-24,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1
coachsanta,2014-11-23,2015-07-07, 2014-12-27, 2015-03-24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
thomascheer,2014-12-12,2015-07-07, 2014-12-06, 2015-01-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
ozonearmor,2015-04-10,2015-06-30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
ukjuiceman,2015-04-07,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
drwhite,2014-01-16,2015-07-07, 2014-06-09, 2015-03-24,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1
goingpoztal,2014-10-17,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
mindful-shaman,2014-01-01,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
medizinmann,2015-03-22,2015-06-11, 2015-03-26, 2015-03-26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1
crystal_clean,2015-03-29,2015-07-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1
