vendor,ag_and_dead_market,ag_and_evo_market,h_ag_only,date_min,date_max
-bigg-balls-,1,1,0,2014-09-22,2014-09-22
-euphoria-,0,0,1,2015-04-02,2015-07-07
-flip-,0,0,1,2014-12-10,2015-03-19
-inanna-,0,0,1,2014-02-02,2015-07-07
-pk,0,0,1,2014-08-14,2014-08-14
-tarnation-,0,0,1,2014-12-01,2015-01-15
-thepakistani-,1,1,0,2014-04-06,2014-10-31
.-.,0,0,1,2014-04-26,2014-05-16
.merkur,0,0,1,2014-11-15,2015-05-13
007,0,0,1,2014-06-01,2014-06-01
010manolo,0,0,1,2014-12-23,2015-04-25
03welle,1,1,0,2014-02-28,2015-07-07
0day,0,0,1,2014-10-29,2015-01-09
1337theblacklist1337,0,0,1,2015-04-07,2015-05-13
13ertrude,0,0,1,2015-02-24,2015-03-03
187acab,1,1,0,2015-01-16,2015-06-30
1dboladay,1,1,0,2014-04-06,2015-04-07
1onestop,0,0,1,2015-06-26,2015-07-07
2015mrclean,0,0,1,2015-03-19,2015-04-07
24kpharma,0,0,1,2015-06-04,2015-07-07
2cbking,0,1,0,2015-04-25,2015-07-07
2ndamendman,0,0,1,2015-06-04,2015-07-07
32dxbv!vrwndid,0,0,1,2014-08-03,2014-09-22
3948756,0,0,1,2014-09-05,2014-09-22
3dames,1,0,0,2014-01-09,2014-12-15
3gents,1,0,0,2014-03-03,2015-01-21
420.,0,0,1,2015-04-12,2015-04-27
420connections,0,0,1,2014-04-06,2014-04-06
420dubeuk,0,0,1,2014-11-15,2015-06-30
420express,0,1,0,2014-11-06,2015-07-07
420greenlife,0,0,1,2015-04-25,2015-05-10
420swe,0,0,1,2015-04-25,2015-07-07
420tqc,0,0,1,2015-02-01,2015-07-07
420twentyfourseven,1,0,0,2014-01-26,2014-10-31
460braiseit,0,1,0,2015-01-01,2015-03-05
5588,0,1,0,2014-03-03,2015-07-07
5gfor50bucks,0,1,0,2014-04-06,2014-10-31
5starhigh,0,0,1,2014-05-24,2015-07-07
710hookup,1,0,0,2014-02-24,2015-07-07
710superstore,0,1,0,2015-03-22,2015-07-07
83519532,0,0,1,2015-03-29,2015-07-07
<i class=,0,0,1,2015-03-07,2015-03-07
_bic_,0,0,1,2015-06-26,2015-07-07
_drugs.inc_,0,0,1,2014-01-16,2014-10-31
a-zsupply,0,0,1,2014-03-06,2014-03-06
a1crack,0,1,0,2015-03-29,2015-07-07
a1fbg,0,1,0,2014-03-06,2014-04-26
a1whipper,0,0,1,2015-06-26,2015-06-30
aaapee911,0,0,1,2014-01-09,2015-07-07
aalbion,0,0,1,2015-03-29,2015-07-04
abcgo,0,1,0,2014-12-28,2015-07-07
acapulcogold,1,0,0,2014-02-23,2014-04-06
acapulcogold420,0,0,1,2014-04-26,2015-03-22
accept,1,1,0,2014-11-15,2015-07-07
access2,0,0,1,2015-06-15,2015-07-04
ace.of.spades,0,0,1,2014-12-20,2015-06-20
ace_of_spades,0,1,0,2014-03-06,2015-07-07
acer007,0,0,1,2014-08-14,2014-12-01
acheter.en.france,0,0,1,2014-06-01,2014-10-31
acidtripsandbongrips,0,0,1,2014-12-23,2015-06-20
actiondabs,0,0,1,2015-05-04,2015-06-11
activewith,0,0,1,2014-09-22,2014-09-22
actorian,0,0,1,2015-06-30,2015-07-07
adderall,1,1,0,2014-01-09,2015-07-07
adderallfast,0,0,1,2015-06-11,2015-07-07
adderallgirl,0,1,0,2015-03-22,2015-07-07
adderallnighter,0,0,1,2014-10-25,2015-06-11
addies,0,0,1,2014-04-06,2015-03-22
addies4days,0,0,1,2014-10-25,2014-10-25
addiesandxans,1,1,0,2014-12-06,2015-07-07
addyshack,0,1,0,2014-01-09,2015-07-07
advancedgrowthlabs,1,0,0,2014-04-06,2015-04-02
adventure_time!,1,0,0,2014-04-06,2015-06-04
afghanapothecary,0,0,1,2014-01-09,2015-02-16
afriendindeed,0,0,1,2014-06-01,2014-06-01
afrikansun,0,1,0,2014-04-06,2015-07-07
aftershop,0,1,0,2014-10-25,2015-07-07
agatha,0,0,1,2014-01-09,2014-03-06
agent-x,0,0,1,2014-11-06,2015-06-30
agentmia,0,0,1,2015-06-26,2015-07-07
agentsmith008,0,1,0,2014-04-06,2015-06-30
agorasmora,0,0,1,2014-11-15,2014-11-15
agoregos,0,0,1,2014-04-26,2014-05-16
agp,0,0,1,2014-05-16,2015-07-07
agsalesuk,0,0,1,2014-02-02,2014-02-05
ah1906,0,0,1,2014-01-09,2014-02-28
ajax-laboratories,0,0,1,2014-10-25,2014-11-07
ajaxfc,0,1,0,2015-06-04,2015-07-07
ak47seeds,0,0,1,2015-01-09,2015-02-24
akid,0,0,1,2014-02-23,2014-10-31
al-ladin,0,0,1,2014-08-03,2015-04-12
albertheijn,1,1,0,2014-04-06,2015-03-15
alberthoffman1943,1,1,0,2014-01-09,2015-06-30
alchemycd,1,1,0,2014-05-16,2015-07-07
alesklar,1,1,0,2014-04-06,2015-02-17
alex-sosa,0,0,1,2014-04-06,2014-12-23
alexandrus,1,1,0,2014-02-23,2015-03-03
alfaomega,0,1,0,2014-05-24,2015-05-13
alfapentedron,0,0,1,2014-02-23,2015-02-09
aliceinholland,1,1,0,2014-02-23,2015-07-07
alisdrugstore,0,0,1,2015-06-04,2015-07-07
all_in_one,0,0,1,2014-02-23,2014-09-22
allchem,0,0,1,2014-01-16,2014-04-26
alldrugs,0,0,1,2015-04-03,2015-07-07
alldrugsuk,0,0,1,2014-01-26,2014-03-06
alpha_male,0,0,1,2014-02-23,2015-01-15
alphabuds,0,0,1,2014-09-22,2014-09-22
alphadweller,0,0,1,2014-09-22,2014-12-10
alphaone,0,0,1,2015-04-07,2015-04-12
alpo,0,0,1,2015-06-04,2015-06-11
alswearengen,0,0,1,2014-01-26,2014-06-01
althea,0,0,1,2014-01-09,2015-04-27
alwaysright,0,1,0,2014-01-09,2015-07-07
alwaysuncutdomestic,0,0,1,2015-06-30,2015-06-30
am123,0,0,1,2014-02-28,2015-07-07
amazon,0,0,1,2014-02-02,2014-06-01
amazonprime,0,1,0,2015-06-04,2015-07-07
americantestosterone.com,0,0,1,2015-06-15,2015-07-07
americaondrugs,0,0,1,2014-03-06,2014-04-06
amicofriz,0,1,0,2014-03-06,2015-06-30
amigos,0,0,1,2015-04-12,2015-04-12
amishmafia,0,1,0,2014-02-28,2015-07-07
ammoking,0,0,1,2015-01-24,2015-03-03
amsint,1,1,0,2014-02-28,2015-06-26
amsterdam,0,0,1,2014-04-06,2014-06-01
amsterdam7uplier,1,1,0,2014-01-26,2015-01-01
amsterdamexport,0,1,0,2014-11-15,2015-01-26
amsterdamliquidxno1,0,0,1,2015-06-11,2015-07-07
amsterdamngood,0,0,1,2014-01-09,2015-02-01
amsterdamonline,0,0,1,2014-10-25,2015-03-29
amsterdamwtc,0,0,1,2014-09-22,2014-10-31
amstergram,0,0,1,2015-05-06,2015-05-13
amyrose420,0,0,1,2014-10-29,2014-11-07
androgenie,0,0,1,2014-02-23,2015-07-07
andydufresne,0,0,1,2014-01-16,2014-02-28
aneaglemum,0,0,1,2014-04-06,2014-09-05
angeleyes,0,1,0,2014-01-09,2015-07-07
angelina,1,1,0,2014-02-23,2015-07-07
angeltech,0,0,1,2015-02-02,2015-07-07
anna,0,0,1,2015-04-03,2015-04-07
annachenwang,0,0,1,2015-06-04,2015-06-15
annie_ann,0,0,1,2014-01-16,2014-11-15
anonbearzinho,0,0,1,2014-02-02,2014-05-24
anonymousnarcotics,0,0,1,2014-12-06,2015-06-04
anonymousq,0,0,1,2015-06-11,2015-06-26
aplus,0,0,1,2015-03-29,2015-07-07
apollonian,1,1,0,2014-02-23,2015-06-30
apoteket,1,0,0,2014-01-26,2015-06-20
apotheke,1,1,0,2014-08-03,2015-07-07
apple.store,0,0,1,2015-04-25,2015-05-13
apple_seller,0,0,1,2015-06-11,2015-06-20
apuaustralia,1,1,0,2014-08-03,2015-05-13
aracay,1,1,0,2014-08-03,2015-07-07
arbiter,0,0,1,2014-02-23,2014-03-06
archer_unlimited,0,0,1,2014-02-23,2014-04-26
arctic,1,1,0,2014-04-06,2015-07-07
arefi,0,0,1,2014-04-06,2014-06-01
armyofthepharaohs,0,0,1,2015-04-25,2015-07-07
arnachy,1,1,0,2014-02-23,2014-12-10
artcannabis,0,0,1,2014-12-06,2015-06-11
aseel,0,0,1,2014-12-30,2015-07-07
ashylarry,1,1,0,2014-04-26,2015-06-20
asianvixen,1,0,0,2014-05-16,2014-12-06
asianvixene,1,0,0,2014-06-01,2015-01-28
astrob0y,0,0,1,2014-09-05,2014-12-28
astrohaven,1,1,0,2014-02-23,2015-06-20
astronomicat,1,1,0,2014-11-07,2015-05-13
atacori,0,0,1,2015-07-04,2015-07-07
atmel,1,1,0,2014-02-23,2015-05-13
atomiclove,0,0,1,2014-10-25,2015-07-07
atomiclust,0,0,1,2015-06-11,2015-06-30
audrugs,0,0,1,2015-01-01,2015-01-09
aurorax420,0,0,1,2014-08-14,2014-11-07
aus-domestic-depot,0,0,1,2014-08-03,2015-07-07
aus_meth_king,1,0,0,2014-06-01,2014-06-01
aus_postman_pat,1,0,0,2014-10-25,2015-02-17
ausbuds,0,0,1,2014-10-25,2014-10-31
auschem,0,0,1,2014-05-24,2014-06-01
auscoke,1,1,0,2014-06-01,2015-01-28
ausguy,0,0,1,2014-01-09,2014-06-01
aushq,0,0,1,2014-02-23,2014-02-28
ausimports,0,1,0,2015-01-15,2015-01-24
ausking,1,1,0,2014-09-22,2015-06-04
ausmarket,1,0,0,2014-01-09,2014-03-06
ausmate,1,1,0,2014-02-02,2015-07-07
ausmods,0,0,1,2014-10-25,2014-12-01
auspost,0,1,0,2014-02-28,2015-07-07
aussie,0,1,0,2015-01-21,2015-04-02
aussiecrystal,0,1,0,2015-06-11,2015-07-07
aussiedealsdirect,0,0,1,2014-02-28,2014-02-28
aussiedomesticdrugs,1,0,0,2014-08-03,2015-06-26
aussiedrugsdirect,0,0,1,2014-12-10,2015-03-07
aussiedrugstore,0,0,1,2015-06-04,2015-07-07
aussieexpress,0,1,0,2014-05-16,2015-07-07
aussiegear,1,1,0,2014-02-24,2015-07-07
aussiegoods,0,0,1,2014-08-03,2015-07-07
aussieherbalsmoke,1,0,0,2014-03-03,2014-12-24
aussiehitsfromthebong,0,0,1,2014-11-15,2015-07-07
aussieimportpills,0,0,1,2015-06-30,2015-07-07
aussielife,0,0,1,2015-06-04,2015-06-04
aussieprime,1,1,0,2014-02-23,2015-07-07
aussiequality,1,1,0,2014-09-05,2014-10-31
aussiequantomics,0,0,1,2014-02-23,2014-09-22
aussierx,0,1,0,2014-03-03,2014-05-16
aussiesfinest,0,0,1,2015-02-11,2015-03-22
aussieshrooms,0,1,0,2014-10-25,2014-12-15
aussiesownjsl,0,0,1,2015-05-04,2015-06-11
aussiestore,1,1,0,2014-02-24,2014-06-01
austore,0,1,0,2014-10-29,2015-07-07
australianbenzodistributions,0,0,1,2014-09-22,2014-09-22
australianhash,0,0,1,2014-04-26,2015-07-07
ausxtc,1,1,0,2014-02-23,2015-07-07
autobahn,0,1,0,2015-03-29,2015-04-12
autosafe,0,0,1,2014-02-23,2015-07-07
auxilium,0,0,1,2015-06-26,2015-07-07
avalokitesvara,0,0,1,2015-05-13,2015-07-07
axa,0,0,1,2014-02-23,2015-07-07
ayersrock,0,0,1,2015-02-11,2015-02-16
b.w!,0,0,1,2015-02-13,2015-04-12
b1g1mpact,1,1,0,2014-02-23,2015-07-07
b4b,0,0,1,2014-01-09,2014-03-06
babybando,0,0,1,2014-04-06,2015-07-04
babykale420,0,0,1,2014-02-28,2015-06-30
baidu,0,0,1,2015-06-20,2015-07-04
bake-my-day,0,0,1,2014-03-06,2015-07-07
bambyla888,0,1,0,2015-02-02,2015-07-07
bamsefar,0,1,0,2014-12-20,2015-07-07
band-aid,0,0,1,2014-03-03,2015-04-27
bankofquark,0,0,1,2014-08-03,2014-09-22
bannedebooks1,0,1,0,2015-06-15,2015-07-04
barbiethenurse,0,0,1,2015-02-11,2015-02-11
baron,1,1,0,2014-02-24,2015-01-01
baronjoy,0,0,1,2015-04-27,2015-07-07
baroso,0,0,1,2014-08-27,2014-08-27
bartard,1,1,0,2014-10-29,2015-02-26
barterer,0,0,1,2015-03-13,2015-07-07
bas30,1,0,0,2014-02-23,2014-05-24
batcountry,1,1,0,2014-04-26,2015-07-07
battista,0,1,0,2014-08-03,2015-07-07
bazbiftage,0,1,0,2015-03-22,2015-07-07
bbmc,1,0,0,2014-04-06,2015-06-20
bc-exotic,0,0,1,2014-01-09,2014-01-26
bc_source,1,0,0,2014-08-14,2014-10-29
bcbud,0,1,0,2014-02-28,2014-09-05
bcbudking,0,1,0,2014-01-09,2015-07-07
bcbuds,0,1,0,2014-01-09,2015-07-07
bcdirect,1,1,0,2014-05-24,2015-07-07
bcndrugs,1,1,0,2014-08-03,2015-06-26
bcpltd,1,0,0,2014-02-23,2015-07-07
beachcomber,0,0,1,2014-02-23,2014-04-26
beachside,0,1,0,2014-01-09,2015-04-12
becker,1,1,0,2014-02-23,2015-07-07
bedia06,1,1,0,2014-11-15,2015-04-27
behappy,0,0,1,2014-02-23,2014-03-06
behappy008,0,0,1,2014-08-14,2015-07-07
beherenow,0,0,1,2015-03-13,2015-03-15
beige4you,0,0,1,2014-01-16,2014-09-05
belgium,0,0,1,2014-03-06,2014-04-26
benjaminbutton,0,0,1,2014-08-03,2014-12-10
bensoteket,0,1,0,2014-02-23,2014-05-16
benzoau,1,0,0,2014-10-29,2014-12-06
benzoblotters,0,1,0,2015-06-26,2015-07-07
benzoboss,1,0,0,2014-08-27,2015-05-13
benzoman,0,1,0,2014-11-06,2015-03-13
berkeleybudz,0,0,1,2015-01-24,2015-02-17
bernadotte,0,1,0,2015-02-24,2015-04-12
bertieahern,0,1,0,2015-03-29,2015-04-10
best_aussie_gear,0,0,1,2014-02-28,2014-03-06
bestaussiegear,1,1,0,2014-08-03,2015-07-07
bestblow,0,1,0,2014-10-25,2015-04-12
bestbulk,0,0,1,2014-03-03,2014-04-06
bestcocaine,0,0,1,2014-02-23,2014-02-23
bestconnect,0,1,0,2015-01-08,2015-06-20
bestdeal,0,1,0,2015-05-04,2015-07-07
bestdrugs,0,1,0,2015-03-22,2015-04-25
bestgreenonly,0,0,1,2015-01-26,2015-02-24
bestinaus,0,0,1,2015-04-25,2015-04-27
bestintheworld,0,0,1,2014-04-06,2014-06-01
bestlegalz,0,0,1,2014-05-16,2015-05-06
bestman365,0,0,1,2014-04-06,2015-07-07
bestofcali,0,0,1,2015-06-30,2015-07-04
beston3,1,1,0,2014-02-02,2014-11-07
bestweedyo,0,0,1,2014-10-25,2015-02-17
bettingescrow,0,0,1,2014-04-06,2014-10-31
beverlythrills,0,0,1,2015-06-11,2015-07-07
bhlcrew,0,1,0,2014-12-15,2015-04-10
bhoily,0,0,1,2014-05-24,2014-09-05
bhokingz420,1,1,0,2014-01-16,2015-06-30
bholabs,0,0,1,2015-04-25,2015-07-07
bhosale,1,0,0,2014-04-26,2014-05-16
big_boy,0,0,1,2015-01-16,2015-07-07
big_pharma,1,1,0,2014-02-23,2014-12-15
bigboifresh,0,0,1,2015-06-15,2015-07-04
bigbuddha,0,0,1,2014-12-06,2015-02-01
bigbudsforyou,0,0,1,2014-08-03,2015-03-30
bigbullion,0,0,1,2014-12-15,2015-05-13
bigdeal100,0,0,1,2014-03-06,2015-07-07
bigfootbuds,0,1,0,2015-03-22,2015-07-07
biglcartel,0,0,1,2014-08-03,2015-06-30
bigpaul,0,0,1,2015-01-16,2015-02-17
bigpharma,0,0,1,2015-04-10,2015-07-07
bigralphexpress,0,1,0,2015-02-28,2015-07-07
bigskybuds,0,0,1,2014-08-03,2015-06-30
bilderberg,0,0,1,2014-06-01,2014-11-07
billhicksau,0,1,0,2015-05-10,2015-07-07
billykidd,0,0,1,2014-08-27,2014-09-22
billythakid,0,0,1,2014-02-23,2014-11-15
biocanna,1,1,0,2014-02-23,2015-07-07
bionik,0,1,0,2014-03-03,2015-07-07
birdseye,0,0,1,2014-02-28,2014-03-06
bisto,1,1,0,2014-02-23,2015-07-07
bitatm,0,0,1,2015-06-26,2015-07-07
bitbank,0,0,1,2015-06-30,2015-06-30
bitcoinfashion,0,0,1,2014-12-15,2015-04-27
black-kush,0,0,1,2015-04-27,2015-05-13
black_label,0,0,1,2014-08-03,2015-07-07
blacka2015,0,0,1,2015-01-21,2015-03-10
blackbazar,1,1,0,2014-01-16,2014-11-07
blackbobbailey,0,0,1,2014-05-16,2015-06-04
