,name,rating,lastSeen,publicKey,#products,#Deals,parsingDate
0,HumboldtFarms,4.89,1 days 0 hours,,18,40~55,2014-09-22
1,DeWeed,4.89,24 days,,1,70~100,2014-09-22
2,littlegoblin,4.93,6 hours,,14,150~200,2014-09-22
3,Rebel_Alliance,4.98,6 hours,,7,300~500,2014-09-22
4,ThePartyDepot,5.00,1 days 17 hours,,3,70~100,2014-09-22
5,_drugs.inc_,5,8 months 5 days,,18,1~2,2014-09-22
6,cossacks,4.99,14 hours,,6,300~500,2014-09-22
7,SeattlesBest,4.96,1 days 4 hours,,6,200~300,2014-09-22
8,checkpoint,4.84,2 days 3 hours,,31,55~70,2014-09-22
9,GermanTerminal,4.994,2 days 2 hours,,37,500~1000,2014-09-22
10,Comebackhaze48,4.96,12 hours,,20,40~55,2014-09-22
11,AGP,4.91,2 days 14 hours,,2,70~100,2014-09-22
12,Top_Gear_UK,4.833,3 hours,,21,500~1000,2014-09-22
13,onefamilyonelove,,0 hours,,7,0,2014-09-22
14,xinhai,4.969,21 hours,,9,1000+,2014-09-22
15,CashCo,5.00,1 days 13 hours,,9,70~100,2014-09-22
16,indianpilldaddy,,,,,,2014-09-22
17,RealAidoneus,5.00,2 days 8 hours,,3,100~150,2014-09-22
18,remoutlet,4.84,1 hours,,16,150~200,2014-09-22
19,Perron,5.00,2 hours,,17,40~55,2014-09-22
20,GoingPostal,4.967,0 hours,,88,1000+,2014-09-22
21,Dimercurio,,,,,,2014-09-22
22,MrKidX,5,4 hours,,6,6~10,2014-09-22
23,themoneyteam777,5.00,7 hours,,7,40~55,2014-09-22
24,Warbeast,5.00,23 hours,,2,200~300,2014-09-22
25,weed4you,5.00,8 hours,,5,300~500,2014-09-22
26,earthworld777,5,3 months 15 days,,6,1~2,2014-09-22
27,pharmerjo,4.96,0 hours,,6,150~200,2014-09-22
28,replicator,,21 days,,14,0,2014-09-22
29,purebase,4.84,5 hours,,5,100~150,2014-09-22
30,WALLSTREETx2,5.000,2 hours,,6,1000+,2014-09-22
31,Addies,5,2 days 4 hours,,2,3~5,2014-09-22
32,topdeals,4.50,6 months 11 days,,14,25~40,2014-09-22
33,DonTuriddu,4.46,2 hours,,8,100~150,2014-09-22
34,mollyjohnson,4.71,11 hours,,4,100~150,2014-09-22
35,VoucherExpress,4.90,0 hours,,18,25~40,2014-09-22
36,DevilWeedSeeds,4.75,17 hours,,4,70~100,2014-09-22
37,hanspoel,5.00,1 days 23 hours,,3,15~25,2014-09-22
38,TOPSHOP,,9 hours,,10, 1~2,2014-09-22
39,CornerApothecary,5.00,1 hours,,1,55~70,2014-09-22
40,bcndrugs,,,,,,2014-09-22
41,Addyshack,4.972,2 hours,,5,500~1000,2014-09-22
42,AussieExpress,5.00,6 days,,2,15~25,2014-09-22
43,WizardofOZs,4.92,1 hours,,1,70~100,2014-09-22
44,Mann-Drog,5,2 days 2 hours,,1,6~10,2014-09-22
45,Meds2Buy,5,18 hours,,62,10~15,2014-09-22
46,northernconnection,4.97,6 hours,,19,200~300,2014-09-22
47,performance1,5,1 days 3 hours,,5,3~5,2014-09-22
48,MedicalRC,5,5 days,,2,10~15,2014-09-22
49,Fire_Fire,4.96,2 days 1 hours,,6,150~200,2014-09-22
50,babykale420,4.97,0 hours,,23,100~150,2014-09-22
51,summertime,4.93,3 hours,,7,500~1000,2014-09-22
52,WeRoll,4.77,2 hours,,6,200~300,2014-09-22
53,Corey_Worthington,,6 months 17 days,,3,0,2014-09-22
54,Premiumgear,5.00,2 hours,,16,150~200,2014-09-22
55,bostongeorge14,5.00,14 hours,,12,10~15,2014-09-22
56,sereal,,,,,,2014-09-22
57,HARRODS,4.50,8 hours,,20,100~150,2014-09-22
58,tomsmith0626,4.92,10 days,,18,150~200,2014-09-22
59,ShopAgent,5.00,5 hours,,62,100~150,2014-09-22
60,T5_NBOMe,3.73,7 days,,28,25~40,2014-09-22
61,Flyfelix,,,,,,2014-09-22
62,blow,5.00,6 hours,,14,55~70,2014-09-22
63,tzzht,5.00,5 hours,,3,15~25,2014-09-22
64,Mpower,,0 hours,,11,0,2014-09-22
65,creator1988,,4 months 18 days,,2,0,2014-09-22
66,cultmadeline,5.000,9 hours,,13,1000+,2014-09-22
67,diamonddealer,,1 days 17 hours,,3,0,2014-09-22
68,Illadelph,5,4 days,,6,1~2,2014-09-22
69,SocksRocksLocks,4.95,13 hours,,15,100~150,2014-09-22
70,chipzahoy,4.96,0 hours,,81,70~100,2014-09-22
71,syntech,5,3 hours,,3,6~10,2014-09-22
72,AngelEyes,4.98,4 hours,,6,150~200,2014-09-22
73,rx4cheap,4.92,2 days 23 hours,,4,70~100,2014-09-22
74,zable,4.976,2 days 19 hours,,10,500~1000,2014-09-22
75,rockyroad88,5,2 months 8 days,,4,6~10,2014-09-22
76,alphadweller,,9 hours,,14,0,2014-09-22
77,theblossom,5.00,3 hours,,21,100~150,2014-09-22
78,dgslabz,4.970,1 days 5 hours,,16,1000+,2014-09-22
79,androgenie,4.98,4 days,,3,55~70,2014-09-22
80,CousinMolly,4,1 months 10 days,,1,6~10,2014-09-22
81,NordicShrooms,5.00,10 days,,1,70~100,2014-09-22
82,WeedSamaritan,4.839,1 days 15 hours,,16,500~1000,2014-09-22
83,KushDepot,,,,,,2014-09-22
84,32dxbv!vrwndid,5,1 hours,,4,6~10,2014-09-22
85,cashmonay13,3.56,4 months 25 days,,8,15~25,2014-09-22
86,InfinityBeyond,,,,,,2014-09-22
87,cheqdropz,0,4 months 19 days,,2,6~10,2014-09-22
88,craigman,5,2 days 4 hours,,3,3~5,2014-09-22
89,Febbraio2468,4.81,1 months 0 days,,7,70~100,2014-09-22
90,InsideTheWhale,4.99,0 hours,,94,200~300,2014-09-22
91,ladyskywalker,4.95,17 hours,,12,100~150,2014-09-22
92,AL-LADin,5.00,11 days,,5,40~55,2014-09-22
93,shoeshunge,4.97,4 hours,,13,200~300,2014-09-22
94,Quantum.Black.Widow,4.97,1 days 5 hours,,37,200~300,2014-09-22
95,GoodmedsDK,4.99,15 hours,,15,100~150,2014-09-22
96,WestCoastCure,4.89,6 hours,,12,100~150,2014-09-22
97,xedov,4,3 months 1 days,,9,6~10,2014-09-22
98,Hanffrei,5.00,1 months 2 days,,2,15~25,2014-09-22
99,Hesh!,,,,,,2014-09-22
100,BudBuddy,5.00,0 hours,,3,25~40,2014-09-22
101,OISG,5,1 days 14 hours,,16,6~10,2014-09-22
102,MoodyMayhem,4.81,1 days 19 hours,,32,200~300,2014-09-22
103,sweshroom,,,,,,2014-09-22
104,ucard,5.00,1 hours,,4,40~55,2014-09-22
105,SweetMeats,4,7 months 15 days,,2,6~10,2014-09-22
106,GreenBlvd,4.89,15 hours,,1,300~500,2014-09-22
107,spdr001,5,9 hours,,1,3~5,2014-09-22
108,Hollands-Best,,,,,,2014-09-22
109,RealDope,4.88,21 hours,,6,200~300,2014-09-22
110,BlackBazar,4.52,21 days,,17,100~150,2014-09-22
111,CZmadeMan,5.00,1 days 12 hours,,29,25~40,2014-09-22
112,ImportDirect,,,,,,2014-09-22
113,Cannaseed,4.83,6 hours,,3,10~15,2014-09-22
114,starrynight,4.94,7 hours,,20,200~300,2014-09-22
115,Mephman,5.00,8 hours,,11,100~150,2014-09-22
116,easilydone,4,30 days,,3,6~10,2014-09-22
117,HumboldtsFinest,5.000,1 days 3 hours,,5,500~1000,2014-09-22
118,Angelina,4.892,1 days 5 hours,,11,500~1000,2014-09-22
119,kratas,0,5 months 21 days,,5,1~2,2014-09-22
120,panacea,4.99,22 hours,,12,300~500,2014-09-22
121,gallo666,4,4 months 9 days,,6,3~5,2014-09-22
122,rainbowbear,5.00,2 hours,,29,100~150,2014-09-22
123,grimreaper,5.00,7 hours,,2,70~100,2014-09-22
124,CanadaCandy,4.93,10 hours,,15,55~70,2014-09-22
125,blackhand,4.99,4 hours,,118,500~1000,2014-09-22
126,Products4You,,,,,,2014-09-22
127,samedaydispatch,,2 months 12 days,,1,0,2014-09-22
128,FattusCatteratus,4.958,23 hours,,25,500~1000,2014-09-22
129,DrEarnhardt,4.824,20 hours,,59,1000+,2014-09-22
130,AustralianHash,5.00,1 hours,,4,150~200,2014-09-22
131,sayno2drugs,4.99,10 hours,,6,300~500,2014-09-22
132,Bisto,4.95,1 hours,,13,300~500,2014-09-22
133,DutchDrugExpert,4.00,5 months 24 days,,2,10~15,2014-09-22
134,DomoPost,4.95,16 hours,,1,300~500,2014-09-22
135,parisinlove,,1 months 0 days,,2,0,2014-09-22
136,whiteyford,4.96,8 hours,,17,300~500,2014-09-22
137,RichPorter,4.90,2 days 17 hours,,5,55~70,2014-09-22
138,axa,5.00,4 hours,,11,200~300,2014-09-22
139,igi123,4.98,18 hours,,9,55~70,2014-09-22
140,InternationalChems,5,1 days 21 hours,,5,6~10,2014-09-22
141,krautling,4.93,0 hours,,2,70~100,2014-09-22
142,UKBTC,5,9 days,,3,6~10,2014-09-22
143,pflegerin,4.68,7 hours,,1,25~40,2014-09-22
144,HAPPYholland,4.967,5 hours,,24,500~1000,2014-09-22
145,Republic,5.00,0 hours,,1,55~70,2014-09-22
146,CokeMate,5.00,5 days,,3,70~100,2014-09-22
147,FlyingDutchmen,5,10 hours,,36,1~2,2014-09-22
148,Thefairtrader,4.54,0 hours,,30,200~300,2014-09-22
149,creamsicle,5,2 hours,,9,3~5,2014-09-22
150,freestylerfreak13a,4.96,3 months 0 days,,34,25~40,2014-09-22
151,drdex,5.00,0 hours,,3,10~15,2014-09-22
152,TheKushLife,5,14 hours,,3,1~2,2014-09-22
153,lifecare,4.68,1 hours,,9,15~25,2014-09-22
154,RawPower,4.90,5 hours,,14,10~15,2014-09-22
155,roll_on,,,,,,2014-09-22
156,cola,1,7 months 6 days,,5,1~2,2014-09-22
157,stiffstyles,5.00,21 hours,,82,150~200,2014-09-22
158,~sweetpuff~,4,15 days,,19,10~15,2014-09-22
159,darkexpresso,4,6 days,,3,6~10,2014-09-22
160,CandyShop,4.33,2 days 12 hours,,4,55~70,2014-09-22
161,Iamapoorboytoo,4.74,1 days 17 hours,,3,40~55,2014-09-22
162,canadianforger,4.97,15 hours,,22,100~150,2014-09-22
163,fakeasanything,4.82,15 hours,,5,300~500,2014-09-22
164,QualityWeed,5.00,0 hours,,9,150~200,2014-09-22
165,b1g1mpact,4.91,6 hours,,45,100~150,2014-09-22
166,Mike,4.69,0 hours,,61,25~40,2014-09-22
167,Adderall,4.90,10 hours,,5,15~25,2014-09-22
168,Liveners,4.58,19 days,,2,25~40,2014-09-22
169,rabbithole,5.00,3 hours,,0,200~300,2014-09-22
170,pureanduncut,5.00,4 hours,,18,25~40,2014-09-22
171,EverythingOnIt,5.00,6 hours,,30,70~100,2014-09-22
172,ChronicChef,5.00,7 days,,3,10~15,2014-09-22
173,Schwarzkopf,5.00,0 hours,,44,100~150,2014-09-22
174,GetBTC,5,1 days 0 hours,,12,15~25,2014-09-22
175,sambalam8,4.96,10 hours,,9,200~300,2014-09-22
176,Reverend_Green,,,,,,2014-09-22
177,SiriousHash,4.77,2 months 11 days,,4,70~100,2014-09-22
178,Renegade,4.84,6 hours,,19,70~100,2014-09-22
179,PurpleChemists,5.00,0 hours,,7,55~70,2014-09-22
180,Dracaufeu,4.97,0 hours,,12,300~500,2014-09-22
181,agora,,,,0,0,2014-09-22
182,usa2usadutchxtc,5,9 hours,,10,10~15,2014-09-22
183,3948756,5.00,4 hours,,9,10~15,2014-09-22
184,CityLights,4.55,1 months 5 days,,5,25~40,2014-09-22
185,butterflylabs,5.00,1 days 5 hours,,7,25~40,2014-09-22
186,Doritos,4.85,10 hours,,15,150~200,2014-09-22
187,GreenSlip,,18 days,,3,0,2014-09-22
188,NextDayValium,5.00,1 days 11 hours,,2,100~150,2014-09-22
189,batcountry,5.00,1 days 1 hours,,10,40~55,2014-09-22
190,OZ-TEAM,5.00,0 hours,,7,200~300,2014-09-22
191,Halaburton,4.96,0 hours,,4,55~70,2014-09-22
192,Carpet,,4 hours,,9,0,2014-09-22
193,Satire,,,,,,2014-09-22
194,dr_THC,4.84,1 hours,,14,100~150,2014-09-22
195,DRmagic,4.90,2 hours,,7,25~40,2014-09-22
196,EZTest,5.00,1 days 0 hours,,44,150~200,2014-09-22
197,PurityStandard,4.91,7 hours,,12,100~150,2014-09-22
198,europedrugs,4.85,1 days 13 hours,,26,100~150,2014-09-22
199,MrGreeen,5.00,5 hours,,7,25~40,2014-09-22
200,PhilCoke,5,8 hours,,3,3~5,2014-09-22
201,Righteous,4.980,4 hours,,14,500~1000,2014-09-22
202,I_dont_know,5.00,8 hours,,1,150~200,2014-09-22
203,onelove321,4.91,3 hours,,14,300~500,2014-09-22
204,MsStoner,4.67,1 hours,,12,200~300,2014-09-22
205,CVSPharmacy,4.62,1 hours,,7,55~70,2014-09-22
206,psychotropix,4.93,0 hours,,52,70~100,2014-09-22
207,IEsource,5.00,1 days 23 hours,,27,25~40,2014-09-22
208,Quixotic,5.00,4 months 1 days,,4,25~40,2014-09-22
209,MarcelKetman,4.972,8 hours,,9,1000+,2014-09-22
210,DutchPride,4.86,23 hours,,46,200~300,2014-09-22
211,Marleys,4.84,12 hours,,18,150~200,2014-09-22
212,sleepyvtg,4,5 days,,3,6~10,2014-09-22
213,EscrowLand,5,1 months 27 days,,4,6~10,2014-09-22
214,MrSaturn,4.99,7 hours,,4,150~200,2014-09-22
215,REALDEAL,5.00,0 hours,,9,150~200,2014-09-22
216,DeemzBeemz,4.98,1 hours,,3,300~500,2014-09-22
217,bionik,5.00,2 days 8 hours,,2,15~25,2014-09-22
218,maligan,,,,,,2014-09-22
219,GermanShop,5,1 hours,,2,3~5,2014-09-22
220,weednation,5.00,9 hours,,4,150~200,2014-09-22
221,ProperPacks,4.97,5 days,,5,25~40,2014-09-22
222,WeedGirls,4.94,1 months 0 days,,4,200~300,2014-09-22
223,CowBe11s,4.70,16 hours,,6,200~300,2014-09-22
224,TeamZissou,4.64,14 hours,,25,15~25,2014-09-22
225,missgreen,5.00,19 hours,,2,15~25,2014-09-22
226,OpiatEd,4.87,1 days 2 hours,,5,300~500,2014-09-22
227,UGL_OZ,5,2 months 1 days,,9,10~15,2014-09-22
228,OPIOID5,,2 days 21 hours,,8,0,2014-09-22
229,ozexpress,4.98,2 days 14 hours,,6,300~500,2014-09-22
230,re1oad,2,5 months 17 days,,1,1~2,2014-09-22
231,Oatmeal~Wookiee,4.97,2 days 18 hours,,5,25~40,2014-09-22
232,Christy_Nugs,5.00,7 hours,,4,150~200,2014-09-22
233,Amsterdamngood,4.81,5 days,,18,100~150,2014-09-22
