,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,members,posts,topics,nOnline,date,new_posts,days_elapsed,new_members,new_topics
0,0,0,0,678,1508,317,3,2014-01-02,1508.0,1.0,678.0,317.0
1,1,1,1,822,2198,418,3,2014-01-09,690.0,7.0,144.0,101.0
2,2,2,2,1034,3026,539,3,2014-01-16,828.0,7.0,212.0,121.0
3,3,3,3,1344,5039,757,3,2014-01-26,2013.0,10.0,310.0,218.0
4,4,4,4,1550,6137,895,3,2014-02-03,1098.0,8.0,206.0,138.0
5,5,5,5,1647,6559,948,3,2014-02-05,422.0,2.0,97.0,53.0
6,6,6,6,1818,7565,1072,3,2014-02-10,1006.0,5.0,171.0,124.0
7,7,7,7,2944,11930,1759,5,2014-02-19,4365.0,9.0,1126.0,687.0
8,8,8,8,3641,15393,2168,5,2014-02-23,3463.0,4.0,697.0,409.0
9,9,9,9,3898,17096,2340,5,2014-02-24,1703.0,1.0,257.0,172.0
10,10,10,10,5297,27743,3401,5,2014-03-08,10647.0,12.0,1399.0,1061.0
11,11,11,11,6681,39919,4669,5,2014-03-19,12176.0,11.0,1384.0,1268.0
12,12,12,12,10413,59817,9305,5,2014-04-05,19898.0,17.0,3732.0,4636.0
13,13,13,13,12513,72685,10036,5,2014-04-16,12868.0,11.0,2100.0,731.0
14,14,14,14,13358,84850,10786,5,2014-04-24,12165.0,8.0,845.0,750.0
15,15,15,15,13720,91094,11165,5,2014-04-27,6244.0,3.0,362.0,379.0
16,16,16,16,14931,111364,12360,5,2014-05-10,20270.0,13.0,1211.0,1195.0
17,17,17,17,15269,117304,12709,5,2014-05-14,5940.0,4.0,338.0,349.0
18,18,18,18,15896,118889,13344,5,2014-05-24,1585.0,10.0,627.0,635.0
19,19,19,19,16285,125920,13756,5,2014-05-28,7031.0,4.0,389.0,412.0
20,20,20,20,16344,126900,13817,5,2014-05-30,980.0,2.0,59.0,61.0
21,21,21,21,16426,128062,13901,5,2014-06-01,1162.0,2.0,82.0,84.0
22,22,22,22,16716,132894,14246,5,2014-06-04,4832.0,3.0,290.0,345.0
23,23,23,23,17198,140137,14706,5,2014-06-09,7243.0,5.0,482.0,460.0
24,24,24,24,16716,132894,14246,5,2014-06-10,-7243.0,1.0,-482.0,-460.0
25,25,25,25,17600,145257,15038,5,2014-06-23,12363.0,13.0,884.0,792.0
26,26,26,26,18532,159603,17570,5,2014-07-05,14346.0,12.0,932.0,2532.0
27,27,27,27,19175,176448,18749,5,2014-07-17,16845.0,12.0,643.0,1179.0
28,28,28,28,19724,187456,19590,5,2014-07-25,11008.0,8.0,549.0,841.0
29,29,29,29,19940,193218,19832,5,2014-07-29,5762.0,4.0,216.0,242.0
