index,board,nPages,date,nTopics_est
0,"('General Category', 'General Discussion')",3,2014-01-02,125
1,"('General Category', 'New features')",1,2014-01-02,25
2,"('General Category', 'Bugs')",1,2014-01-02,25
3,"('General Category', 'Product categories')",1,2014-01-02,25
4,"('Offtopic', 'Generic randomness')",1,2014-01-02,25
5,"('Official section', 'News')",1,2014-01-02,25
6,"('Official section', 'Info')",1,2014-01-02,25
7,"('General Category', 'Vendor discussion')",1,2014-01-02,25
0,"('General Category', 'General Discussion')",5,2014-01-09,225
1,"('General Category', 'New features')",1,2014-01-09,25
2,"('General Category', 'Bugs')",1,2014-01-09,25
3,"('General Category', 'Product categories')",1,2014-01-09,25
4,"('Offtopic', 'Generic randomness')",1,2014-01-09,25
5,"('Official section', 'News')",1,2014-01-09,25
6,"('Official section', 'Info')",1,2014-01-09,25
7,"('General Category', 'Vendor discussion')",2,2014-01-09,75
0,"('General Category', 'General Discussion')",6,2014-01-16,275
1,"('General Category', 'Access vendor-only forum')",1,2014-01-16,25
2,"('General Category', 'Security discussion')",1,2014-01-16,25
3,"('General Category', 'New features')",1,2014-01-16,25
4,"('General Category', 'Bugs')",1,2014-01-16,25
5,"('General Category', 'Product categories')",1,2014-01-16,25
6,"('Offtopic', 'Generic randomness')",1,2014-01-16,25
7,"('Official section', 'News')",1,2014-01-16,25
8,"('Official section', 'Info')",1,2014-01-16,25
9,"('General Category', 'Vendor discussion')",2,2014-01-16,75
0,"('General Category', 'General Discussion')",8,2014-01-26,375
1,"('General Category', 'Access vendor-only forum')",1,2014-01-26,25
2,"('General Category', 'Security discussion')",1,2014-01-26,25
3,"('General Category', 'Product offers')",1,2014-01-26,25
4,"('General Category', 'New features')",1,2014-01-26,25
5,"('General Category', 'Bugs')",1,2014-01-26,25
6,"('General Category', 'Product categories')",1,2014-01-26,25
7,"('Offtopic', 'Generic randomness')",1,2014-01-26,25
8,"('Official section', 'News')",1,2014-01-26,25
9,"('Official section', 'Info')",1,2014-01-26,25
10,"('General Category', 'Vendor discussion')",4,2014-01-26,175
0,"('General Category', 'General Discussion')",9,2014-02-03,425
1,"('General Category', 'Access vendor-only forum')",1,2014-02-03,25
2,"('General Category', 'Security discussion')",1,2014-02-03,25
3,"('General Category', 'Product offers')",1,2014-02-03,25
4,"('General Category', 'New features')",1,2014-02-03,25
5,"('General Category', 'Bugs')",1,2014-02-03,25
6,"('General Category', 'Product categories')",1,2014-02-03,25
7,"('Offtopic', 'Generic randomness')",1,2014-02-03,25
8,"('Official section', 'News')",1,2014-02-03,25
9,"('Official section', 'Info')",1,2014-02-03,25
10,"('General Category', 'Vendor discussion')",4,2014-02-03,175
0,"('General Category', 'General Discussion')",9,2014-02-05,425
1,"('General Category', 'Access vendor-only forum')",1,2014-02-05,25
2,"('General Category', 'Security discussion')",1,2014-02-05,25
3,"('General Category', 'Product offers')",2,2014-02-05,75
4,"('General Category', 'New features')",1,2014-02-05,25
5,"('General Category', 'Bugs')",1,2014-02-05,25
6,"('General Category', 'Product categories')",1,2014-02-05,25
7,"('Offtopic', 'Generic randomness')",1,2014-02-05,25
8,"('Official section', 'News')",1,2014-02-05,25
9,"('Official section', 'Info')",1,2014-02-05,25
10,"('General Category', 'Vendor discussion')",5,2014-02-05,225
0,"('General Category', 'General Discussion')",10,2014-02-10,475
1,"('General Category', 'Access vendor-only forum')",1,2014-02-10,25
2,"('General Category', 'Security discussion')",1,2014-02-10,25
3,"('General Category', 'Product offers')",2,2014-02-10,75
4,"('General Category', 'New features')",1,2014-02-10,25
5,"('General Category', 'Bugs')",1,2014-02-10,25
6,"('General Category', 'Product categories')",1,2014-02-10,25
7,"('Offtopic', 'Generic randomness')",1,2014-02-10,25
8,"('Official section', 'News')",1,2014-02-10,25
9,"('Official section', 'Info')",1,2014-02-10,25
10,"('General Category', 'Vendor discussion')",5,2014-02-10,225
0,"('General Category', 'General Discussion')",16,2014-02-19,775
1,"('General Category', 'Access vendor-only forum')",1,2014-02-19,25
2,"('General Category', 'Security discussion')",1,2014-02-19,25
3,"('General Category', 'Product offers')",4,2014-02-19,175
4,"('Local forums', 'German')",1,2014-02-19,25
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-02-19,25
6,"('General Category', 'New features')",1,2014-02-19,25
7,"('General Category', 'Bugs')",1,2014-02-19,25
8,"('General Category', 'Product categories')",1,2014-02-19,25
9,"('Offtopic', 'Generic randomness')",1,2014-02-19,25
10,"('Official section', 'News')",1,2014-02-19,25
11,"('Official section', 'Info')",1,2014-02-19,25
12,"('General Category', 'Vendor discussion')",9,2014-02-19,425
0,"('General Category', 'General Discussion')",19,2014-02-23,925
1,"('General Category', 'Access vendor-only forum')",1,2014-02-23,25
2,"('General Category', 'Security discussion')",2,2014-02-23,75
3,"('General Category', 'Product offers')",5,2014-02-23,225
4,"('Local forums', 'German')",1,2014-02-23,25
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-02-23,25
6,"('General Category', 'New features')",1,2014-02-23,25
7,"('General Category', 'Bugs')",1,2014-02-23,25
8,"('General Category', 'Product categories')",1,2014-02-23,25
9,"('Offtopic', 'Generic randomness')",1,2014-02-23,25
10,"('Official section', 'News')",1,2014-02-23,25
11,"('Official section', 'Info')",1,2014-02-23,25
12,"('General Category', 'Vendor discussion')",11,2014-02-23,525
0,"('General Category', 'General Discussion')",20,2014-02-24,975
1,"('General Category', 'Access vendor-only forum')",1,2014-02-24,25
2,"('General Category', 'Security discussion')",2,2014-02-24,75
3,"('General Category', 'Product offers')",5,2014-02-24,225
4,"('Local forums', 'German')",1,2014-02-24,25
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-02-24,25
6,"('General Category', 'New features')",1,2014-02-24,25
7,"('General Category', 'Bugs')",1,2014-02-24,25
8,"('General Category', 'Product categories')",1,2014-02-24,25
9,"('Offtopic', 'Generic randomness')",1,2014-02-24,25
10,"('Official section', 'News')",1,2014-02-24,25
11,"('Official section', 'Info')",1,2014-02-24,25
12,"('General Category', 'Vendor discussion')",12,2014-02-24,575
0,"('General Category', 'General Discussion')",30,2014-03-08,1475
1,"('General Category', 'Access vendor-only forum')",1,2014-03-08,25
2,"('General Category', 'Security discussion')",2,2014-03-08,75
3,"('General Category', 'Product offers')",9,2014-03-08,425
4,"('Local forums', 'German')",1,2014-03-08,25
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-03-08,25
6,"('General Category', 'New features')",3,2014-03-08,125
7,"('General Category', 'Bugs')",3,2014-03-08,125
8,"('General Category', 'Product categories')",3,2014-03-08,125
9,"('Offtopic', 'Generic randomness')",1,2014-03-08,25
10,"('Official section', 'News')",1,2014-03-08,25
11,"('Official section', 'Info')",1,2014-03-08,25
12,"('General Category', 'Vendor discussion')",18,2014-03-08,875
0,"('General Category', 'General Discussion')",44,2014-03-19,2175
1,"('General Category', 'Access vendor-only forum')",1,2014-03-19,25
2,"('General Category', 'Security discussion')",4,2014-03-19,175
3,"('General Category', 'Product offers')",12,2014-03-19,575
4,"('Local forums', 'German')",1,2014-03-19,25
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-03-19,25
6,"('General Category', 'New features')",3,2014-03-19,125
7,"('General Category', 'Bugs')",3,2014-03-19,125
8,"('General Category', 'Product categories')",2,2014-03-19,75
9,"('Offtopic', 'Generic randomness')",3,2014-03-19,125
10,"('Official section', 'News')",1,2014-03-19,25
11,"('Official section', 'Info')",1,2014-03-19,25
12,"('General Category', 'Vendor discussion')",21,2014-03-19,1025
0,"('General Category', 'General Discussion')",117,2014-04-05,5825
1,"('General Category', 'Access vendor-only forum')",1,2014-04-05,25
2,"('General Category', 'Security discussion')",5,2014-04-05,225
3,"('General Category', 'Product offers')",19,2014-04-05,925
4,"('Local forums', 'German')",2,2014-04-05,75
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-04-05,25
6,"('General Category', 'Newbie section ')",3,2014-04-05,125
7,"('General Category', 'New features')",3,2014-04-05,125
8,"('General Category', 'Bugs')",4,2014-04-05,175
9,"('General Category', 'Product categories')",3,2014-04-05,125
10,"('Offtopic', 'Generic randomness')",4,2014-04-05,175
11,"('Official section', 'News')",1,2014-04-05,25
12,"('Official section', 'Info')",1,2014-04-05,25
13,"('General Category', 'Vendor discussion')",27,2014-04-05,1325
0,"('General Category', 'General Discussion')",124,2014-04-16,6175
1,"('General Category', 'Access vendor-only forum')",1,2014-04-16,25
2,"('General Category', 'Security discussion')",6,2014-04-16,275
3,"('General Category', 'Product offers')",21,2014-04-16,1025
4,"('Local forums', 'German')",2,2014-04-16,75
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-04-16,25
6,"('General Category', 'Newbie section ')",7,2014-04-16,325
7,"('General Category', 'New features')",4,2014-04-16,175
8,"('General Category', 'Bugs')",4,2014-04-16,175
9,"('General Category', 'Product categories')",3,2014-04-16,125
10,"('Offtopic', 'Generic randomness')",4,2014-04-16,175
11,"('Official section', 'News')",1,2014-04-16,25
12,"('Official section', 'Info')",1,2014-04-16,25
13,"('General Category', 'Vendor discussion')",29,2014-04-16,1425
0,"('General Category', 'General Discussion')",127,2014-04-24,6325
1,"('General Category', 'Access vendor-only forum')",1,2014-04-24,25
2,"('General Category', 'Security discussion')",6,2014-04-24,275
3,"('General Category', 'Product offers')",22,2014-04-24,1075
4,"('Local forums', 'German')",2,2014-04-24,75
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-04-24,25
6,"('General Category', 'Newbie section ')",11,2014-04-24,525
7,"('General Category', 'New features')",4,2014-04-24,175
8,"('General Category', 'Bugs')",4,2014-04-24,175
9,"('General Category', 'Product categories')",3,2014-04-24,125
10,"('Offtopic', 'Generic randomness')",4,2014-04-24,175
11,"('Official section', 'News')",1,2014-04-24,25
12,"('Official section', 'Info')",1,2014-04-24,25
13,"('General Category', 'Vendor discussion')",32,2014-04-24,1575
0,"('General Category', 'General Discussion')",130,2014-04-27,6475
1,"('General Category', 'Access vendor-only forum')",1,2014-04-27,25
2,"('General Category', 'Security discussion')",6,2014-04-27,275
3,"('General Category', 'Product offers')",23,2014-04-27,1125
4,"('Local forums', 'German')",2,2014-04-27,75
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-04-27,25
6,"('General Category', 'Newbie section ')",13,2014-04-27,625
7,"('General Category', 'New features')",4,2014-04-27,175
8,"('General Category', 'Bugs')",4,2014-04-27,175
9,"('General Category', 'Product categories')",3,2014-04-27,125
10,"('Offtopic', 'Generic randomness')",4,2014-04-27,175
11,"('Official section', 'News')",1,2014-04-27,25
12,"('Official section', 'Info')",1,2014-04-27,25
13,"('General Category', 'Vendor discussion')",32,2014-04-27,1575
0,"('General Category', 'General Discussion')",137,2014-05-10,6825
1,"('General Category', 'Access vendor-only forum')",1,2014-05-10,25
2,"('General Category', 'Security discussion')",6,2014-05-10,275
3,"('General Category', 'Product offers')",26,2014-05-10,1275
4,"('Local forums', 'German')",3,2014-05-10,125
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-05-10,25
6,"('General Category', 'Newbie section ')",19,2014-05-10,925
7,"('General Category', 'New features')",4,2014-05-10,175
8,"('General Category', 'Bugs')",4,2014-05-10,175
9,"('General Category', 'Product categories')",5,2014-05-10,225
10,"('Offtopic', 'Generic randomness')",4,2014-05-10,175
11,"('Official section', 'News')",1,2014-05-10,25
12,"('Official section', 'Info')",1,2014-05-10,25
13,"('General Category', 'Vendor discussion')",36,2014-05-10,1775
0,"('General Category', 'General Discussion')",140,2014-05-14,6975
1,"('General Category', 'Access vendor-only forum')",1,2014-05-14,25
2,"('General Category', 'Security discussion')",6,2014-05-14,275
3,"('General Category', 'Product offers')",27,2014-05-14,1325
4,"('Local forums', 'German')",4,2014-05-14,175
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-05-14,25
6,"('General Category', 'Newbie section ')",21,2014-05-14,1025
7,"('General Category', 'New features')",4,2014-05-14,175
8,"('General Category', 'Bugs')",4,2014-05-14,175
9,"('General Category', 'Product categories')",5,2014-05-14,225
10,"('Offtopic', 'Generic randomness')",5,2014-05-14,225
11,"('Official section', 'News')",1,2014-05-14,25
12,"('Official section', 'Info')",1,2014-05-14,25
13,"('General Category', 'Vendor discussion')",37,2014-05-14,1825
0,"('General Category', 'General Discussion')",144,2014-05-24,7175
1,"('General Category', 'Access vendor-only forum')",1,2014-05-24,25
2,"('General Category', 'Security Discussion')",8,2014-05-24,375
3,"('General Category', 'Product Offers')",29,2014-05-24,1425
4,"('Local forums', 'German')",3,2014-05-24,125
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-05-24,25
6,"('General Category', 'Newbie Section ')",23,2014-05-24,1125
7,"('General Category', 'Referral Links')",1,2014-05-24,25
8,"('General Category', 'New Features')",4,2014-05-24,175
9,"('General Category', 'Bugs')",5,2014-05-24,225
10,"('General Category', 'Product Categories')",5,2014-05-24,225
11,"('Offtopic', 'Generic randomness')",4,2014-05-24,175
12,"('Official section', 'News')",1,2014-05-24,25
13,"('Official section', 'Info')",1,2014-05-24,25
14,"('General Category', 'Vendor Discussion')",39,2014-05-24,1925
0,"('General Category', 'General Discussion')",145,2014-05-28,7225
1,"('General Category', 'Access vendor-only forum')",1,2014-05-28,25
2,"('General Category', 'Security Discussion')",8,2014-05-28,375
3,"('General Category', 'Product Offers')",30,2014-05-28,1475
4,"('Local forums', 'German')",5,2014-05-28,225
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-05-28,25
6,"('General Category', 'Newbie Section ')",25,2014-05-28,1225
7,"('General Category', 'Referral Links')",1,2014-05-28,25
8,"('General Category', 'New Features')",4,2014-05-28,175
9,"('General Category', 'Bugs')",5,2014-05-28,225
10,"('General Category', 'Product Categories')",5,2014-05-28,225
11,"('Offtopic', 'Generic randomness')",5,2014-05-28,225
12,"('Official section', 'News')",1,2014-05-28,25
13,"('Official section', 'Info')",1,2014-05-28,25
14,"('General Category', 'Vendor Discussion')",40,2014-05-28,1975
0,"('General Category', 'General Discussion')",146,2014-05-30,7275
1,"('General Category', 'Access vendor-only forum')",1,2014-05-30,25
2,"('General Category', 'Security Discussion')",8,2014-05-30,375
3,"('General Category', 'Product Offers')",30,2014-05-30,1475
4,"('Local forums', 'German')",5,2014-05-30,225
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-05-30,25
6,"('General Category', 'Newbie Section ')",26,2014-05-30,1275
7,"('General Category', 'Referral Links')",1,2014-05-30,25
8,"('General Category', 'New Features')",4,2014-05-30,175
9,"('General Category', 'Bugs')",5,2014-05-30,225
10,"('General Category', 'Product Categories')",5,2014-05-30,225
11,"('Offtopic', 'Generic randomness')",4,2014-05-30,175
12,"('Official section', 'News')",1,2014-05-30,25
13,"('Official section', 'Info')",1,2014-05-30,25
14,"('General Category', 'Vendor Discussion')",40,2014-05-30,1975
0,"('General Category', 'General Discussion')",147,2014-06-01,7325
1,"('General Category', 'Access vendor-only forum')",1,2014-06-01,25
2,"('General Category', 'Security Discussion')",8,2014-06-01,375
3,"('General Category', 'Product Offers')",31,2014-06-01,1525
4,"('Local forums', 'German')",5,2014-06-01,225
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-06-01,25
6,"('General Category', 'Newbie Section ')",26,2014-06-01,1275
7,"('General Category', 'Referral Links')",1,2014-06-01,25
8,"('General Category', 'New Features')",4,2014-06-01,175
9,"('General Category', 'Bugs')",5,2014-06-01,225
10,"('General Category', 'Product Categories')",5,2014-06-01,225
11,"('Offtopic', 'Generic randomness')",4,2014-06-01,175
12,"('Official section', 'News')",1,2014-06-01,25
13,"('Official section', 'Info')",1,2014-06-01,25
14,"('General Category', 'Vendor Discussion')",41,2014-06-01,2025
0,"('General Category', 'General Discussion')",147,2014-06-04,7325
1,"('General Category', 'Access vendor-only forum')",1,2014-06-04,25
2,"('General Category', 'Security Discussion')",8,2014-06-04,375
3,"('General Category', 'Product Offers')",31,2014-06-04,1525
4,"('Local forums', 'German')",5,2014-06-04,225
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-06-04,25
6,"('General Category', 'Newbie Section ')",28,2014-06-04,1375
7,"('General Category', 'Referral Links')",3,2014-06-04,125
8,"('General Category', 'New Features')",4,2014-06-04,175
9,"('General Category', 'Bugs')",5,2014-06-04,225
10,"('General Category', 'Product Categories')",5,2014-06-04,225
11,"('Offtopic', 'Generic randomness')",4,2014-06-04,175
12,"('Official section', 'News')",1,2014-06-04,25
13,"('Official section', 'Info')",1,2014-06-04,25
14,"('General Category', 'Vendor Discussion')",41,2014-06-04,2025
0,"('General Category', 'General Discussion')",150,2014-06-09,7475
1,"('General Category', 'Access vendor-only forum')",1,2014-06-09,25
2,"('General Category', 'Security Discussion')",9,2014-06-09,425
3,"('General Category', 'Product Offers')",32,2014-06-09,1575
4,"('Local forums', 'German')",5,2014-06-09,225
5,"('Community', 'Philosophy, Economics and Justice')",2,2014-06-09,75
6,"('General Category', 'Newbie Section ')",30,2014-06-09,1475
7,"('General Category', 'Referral Links')",4,2014-06-09,175
8,"('General Category', 'New Features')",4,2014-06-09,175
9,"('General Category', 'Bugs')",5,2014-06-09,225
10,"('General Category', 'Product Categories')",5,2014-06-09,225
11,"('Offtopic', 'Generic randomness')",5,2014-06-09,225
12,"('Official section', 'News')",1,2014-06-09,25
13,"('Official section', 'Info')",1,2014-06-09,25
14,"('General Category', 'Vendor Discussion')",43,2014-06-09,2125
0,"('General Category', 'General Discussion')",147,2014-06-10,7325
1,"('General Category', 'Access vendor-only forum')",1,2014-06-10,25
2,"('General Category', 'Security Discussion')",8,2014-06-10,375
3,"('General Category', 'Product Offers')",31,2014-06-10,1525
4,"('Local forums', 'German')",5,2014-06-10,225
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-06-10,25
6,"('General Category', 'Newbie Section ')",28,2014-06-10,1375
7,"('General Category', 'Referral Links')",3,2014-06-10,125
8,"('General Category', 'New Features')",4,2014-06-10,175
9,"('General Category', 'Bugs')",5,2014-06-10,225
10,"('General Category', 'Product Categories')",5,2014-06-10,225
11,"('Offtopic', 'Generic randomness')",4,2014-06-10,175
12,"('Official section', 'News')",1,2014-06-10,25
13,"('Official section', 'Info')",1,2014-06-10,25
14,"('General Category', 'Vendor Discussion')",41,2014-06-10,2025
0,"('General Category', 'General Discussion')",153,2014-06-23,7625
1,"('General Category', 'Access vendor-only forum')",1,2014-06-23,25
2,"('General Category', 'Security Discussion')",9,2014-06-23,425
3,"('Local forums', 'German')",5,2014-06-23,225
4,"('Community', 'Philosophy, Economics and Justice')",1,2014-06-23,25
5,"('General Category', 'Newbie Section ')",32,2014-06-23,1575
6,"('General Category', 'Referral Links')",4,2014-06-23,175
7,"('General Category', 'New Features')",4,2014-06-23,175
8,"('General Category', 'Bugs')",5,2014-06-23,225
9,"('General Category', 'Product Categories')",5,2014-06-23,225
10,"('Offtopic', 'Generic randomness')",4,2014-06-23,175
11,"('Official section', 'News')",1,2014-06-23,25
12,"('Official section', 'Info')",1,2014-06-23,25
13,"('General Category', 'Vendor Discussion')",44,2014-06-23,2175
0,"('General Category', 'General Discussion')",157,2014-07-05,7825
1,"('General Category', 'Access vendor-only forum')",1,2014-07-05,25
2,"('General Category', 'Security Discussion')",9,2014-07-05,425
3,"('General Category', 'Product Offers')",35,2014-07-05,1725
4,"('Community', 'Philosophy, Economics and Justice')",2,2014-07-05,75
5,"('General Category', 'Referral Links')",39,2014-07-05,1925
6,"('Community', 'Drug Safety')",1,2014-07-05,25
7,"('General Category', 'Product Categories')",5,2014-07-05,225
8,"('Offtopic', 'Generic randomness')",6,2014-07-05,275
9,"('Official section', 'News')",1,2014-07-05,25
10,"('Official section', 'Info')",1,2014-07-05,25
11,"('General Category', 'Vendor Discussion')",47,2014-07-05,2325
0,"('General Category', 'General Discussion')",163,2014-07-17,8125
1,"('General Category', 'Access vendor-only forum')",1,2014-07-17,25
2,"('General Category', 'Security Discussion')",10,2014-07-17,475
3,"('General Category', 'Product Offers')",37,2014-07-17,1825
4,"('Local forums', 'German')",6,2014-07-17,275
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-07-17,25
6,"('General Category', 'Newbie Section ')",38,2014-07-17,1875
7,"('General Category', 'Referral Links')",50,2014-07-17,2475
8,"('Community', 'Drug Safety')",1,2014-07-17,25
9,"('General Category', 'New Features')",5,2014-07-17,225
10,"('General Category', 'Bugs')",5,2014-07-17,225
11,"('General Category', 'Product Categories')",6,2014-07-17,275
12,"('Offtopic', 'Generic randomness')",6,2014-07-17,275
13,"('Official section', 'News')",1,2014-07-17,25
14,"('Official section', 'Info')",1,2014-07-17,25
15,"('General Category', 'Vendor Discussion')",50,2014-07-17,2475
0,"('General Category', 'General Discussion')",164,2014-07-25,8175
1,"('General Category', 'Security Discussion')",10,2014-07-25,475
2,"('General Category', 'Product Offers')",38,2014-07-25,1875
3,"('Local forums', 'German')",7,2014-07-25,325
4,"('Community', 'Philosophy, Economics and Justice')",1,2014-07-25,25
5,"('General Category', 'Newbie Section ')",41,2014-07-25,2025
6,"('General Category', 'Referral Links')",57,2014-07-25,2825
7,"('Community', 'Drug Safety')",1,2014-07-25,25
8,"('General Category', 'New Features')",5,2014-07-25,225
9,"('General Category', 'Bugs')",5,2014-07-25,225
10,"('Offtopic', 'Generic randomness')",6,2014-07-25,275
11,"('Official section', 'News')",1,2014-07-25,25
12,"('Official section', 'Info')",1,2014-07-25,25
13,"('General Category', 'Vendor Discussion')",51,2014-07-25,2525
0,"('General Category', 'General Discussion')",167,2014-07-29,8325
1,"('General Category', 'Access vendor-only forum')",1,2014-07-29,25
2,"('General Category', 'Security Discussion')",11,2014-07-29,525
3,"('General Category', 'Product Offers')",39,2014-07-29,1925
4,"('Community', 'Philosophy, Economics and Justice')",1,2014-07-29,25
5,"('General Category', 'Newbie Section ')",42,2014-07-29,2075
6,"('General Category', 'Referral Links')",85,2014-07-29,4225
7,"('Community', 'Drug Safety')",1,2014-07-29,25
8,"('General Category', 'New Features')",5,2014-07-29,225
9,"('General Category', 'Product Categories')",6,2014-07-29,275
10,"('Offtopic', 'Generic randomness')",6,2014-07-29,275
11,"('Official section', 'News')",1,2014-07-29,25
12,"('Official section', 'Info')",1,2014-07-29,25
13,"('General Category', 'Vendor Discussion')",55,2014-07-29,2725
0,"('General Category', 'General Discussion')",172,2014-07-30,8575
1,"('General Category', 'Access vendor-only forum')",1,2014-07-30,25
2,"('General Category', 'Security Discussion')",14,2014-07-30,675
3,"('General Category', 'Product Offers')",40,2014-07-30,1975
4,"('Local forums', 'German')",7,2014-07-30,325
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-07-30,25
6,"('General Category', 'Newbie Section ')",45,2014-07-30,2225
7,"('General Category', 'Referral Links')",73,2014-07-30,3625
8,"('Community', 'Drug Safety')",1,2014-07-30,25
9,"('General Category', 'New Features')",5,2014-07-30,225
10,"('General Category', 'Bugs')",5,2014-07-30,225
11,"('General Category', 'Product Categories')",7,2014-07-30,325
12,"('Offtopic', 'Generic randomness')",6,2014-07-30,275
13,"('Official section', 'News')",1,2014-07-30,25
14,"('Official section', 'Info')",1,2014-07-30,25
15,"('General Category', 'Vendor Discussion')",55,2014-07-30,2725
0,"('General Category', 'General Discussion')",172,2014-08-02,8575
1,"('General Category', 'Access vendor-only forum')",1,2014-08-02,25
2,"('General Category', 'Security Discussion')",13,2014-08-02,625
3,"('General Category', 'Product Offers')",40,2014-08-02,1975
4,"('Local forums', 'German')",7,2014-08-02,325
5,"('Community', 'Philosophy, Economics and Justice')",1,2014-08-02,25
6,"('General Category', 'Newbie Section ')",51,2014-08-02,2525
7,"('General Category', 'Referral Links')",65,2014-08-02,3225
8,"('Community', 'Drug Safety')",1,2014-08-02,25
9,"('General Category', 'New Features')",5,2014-08-02,225
10,"('General Category', 'Bugs')",5,2014-08-02,225
11,"('General Category', 'Product Categories')",7,2014-08-02,325
12,"('Offtopic', 'Generic randomness')",6,2014-08-02,275
13,"('Official section', 'News')",1,2014-08-02,25
14,"('Official section', 'Info')",1,2014-08-02,25
15,"('General Category', 'Vendor Discussion')",55,2014-08-02,2725
0,"('General Category', 'General Discussion')",168,2014-08-05,8375
1,"('General Category', 'Access vendor-only forum')",1,2014-08-05,25
2,"('General Category', 'Security Discussion')",11,2014-08-05,525
3,"('General Category', 'Product Offers')",39,2014-08-05,1925
4,"('Local forums', 'German')",7,2014-08-05,325
5,"('Community', 'Philosophy, Economics and Justice')",2,2014-08-05,75
6,"('General Category', 'Newbie Section ')",45,2014-08-05,2225
7,"('General Category', 'Referral Links')",43,2014-08-05,2125
8,"('Community', 'Drug Safety')",1,2014-08-05,25
9,"('General Category', 'New Features')",5,2014-08-05,225
10,"('General Category', 'Bugs')",5,2014-08-05,225
11,"('General Category', 'Product Categories')",6,2014-08-05,275
12,"('Offtopic', 'Generic randomness')",6,2014-08-05,275
13,"('Official section', 'News')",1,2014-08-05,25
14,"('Official section', 'Info')",1,2014-08-05,25
15,"('General Category', 'Vendor Discussion')",53,2014-08-05,2625
0,"('General Category', 'General Discussion')",170,2014-08-11,8475
1,"('General Category', 'Access vendor-only forum')",1,2014-08-11,25
2,"('General Category', 'Security Discussion')",11,2014-08-11,525
3,"('General Category', 'Product Offers')",40,2014-08-11,1975
4,"('Local forums', 'German')",7,2014-08-11,325
5,"('Community', 'Philosophy, Economics and Justice')",2,2014-08-11,75
6,"('General Category', 'Newbie Section ')",48,2014-08-11,2375
7,"('General Category', 'Referral Links')",43,2014-08-11,2125
8,"('Community', 'Drug Safety')",1,2014-08-11,25
9,"('General Category', 'New Features')",5,2014-08-11,225
10,"('General Category', 'Bugs')",5,2014-08-11,225
11,"('General Category', 'Product Categories')",6,2014-08-11,275
12,"('Offtopic', 'Generic randomness')",6,2014-08-11,275
13,"('Official section', 'News')",1,2014-08-11,25
14,"('Official section', 'Info')",1,2014-08-11,25
15,"('General Category', 'Vendor Discussion')",54,2014-08-11,2675
0,"('General Category', 'General Discussion')",171,2014-08-18,8525
1,"('General Category', 'Access vendor-only forum')",1,2014-08-18,25
2,"('General Category', 'Security Discussion')",11,2014-08-18,525
3,"('General Category', 'Product Offers')",41,2014-08-18,2025
4,"('Local forums', 'German')",7,2014-08-18,325
5,"('Community', 'Philosophy, Economics and Justice')",2,2014-08-18,75
6,"('General Category', 'Newbie Section ')",50,2014-08-18,2475
