date,board,nPages,nTopics_est,nSample
2014-01-02,"('General Category', 'General Discussion')",3,125,198.0
2014-01-02,"('General Category', 'New features')",1,25,31.0
2014-01-02,"('General Category', 'Bugs')",1,25,24.0
2014-01-02,"('General Category', 'Product categories')",1,25,29.0
2014-01-02,"('Offtopic', 'Generic randomness')",1,25,9.0
2014-01-02,"('Official section', 'News')",1,25,4.0
2014-01-02,"('Official section', 'Info')",1,25,2.0
2014-01-02,"('General Category', 'Vendor discussion')",1,25,20.0
2014-01-09,"('General Category', 'General Discussion')",5,225,43.0
2014-01-09,"('General Category', 'New features')",1,25,5.0
2014-01-09,"('General Category', 'Bugs')",1,25,7.0
2014-01-09,"('General Category', 'Product categories')",1,25,7.0
2014-01-09,"('Offtopic', 'Generic randomness')",1,25,5.0
2014-01-09,"('Official section', 'News')",1,25,1.0
2014-01-09,"('Official section', 'Info')",1,25,1.0
2014-01-09,"('General Category', 'Vendor discussion')",2,75,36.0
2014-01-16,"('General Category', 'General Discussion')",6,275,45.0
2014-01-16,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-01-16,"('General Category', 'Security discussion')",1,25,2.0
2014-01-16,"('General Category', 'New features')",1,25,4.0
2014-01-16,"('General Category', 'Bugs')",1,25,3.0
2014-01-16,"('General Category', 'Product categories')",1,25,8.0
2014-01-16,"('Offtopic', 'Generic randomness')",1,25,3.0
2014-01-16,"('Official section', 'News')",1,25,1.0
2014-01-16,"('Official section', 'Info')",1,25,1.0
2014-01-16,"('General Category', 'Vendor discussion')",2,75,48.0
2014-01-26,"('General Category', 'General Discussion')",8,375,102.0
2014-01-26,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-01-26,"('General Category', 'Security discussion')",1,25,9.0
2014-01-26,"('General Category', 'Product offers')",1,25,20.0
2014-01-26,"('General Category', 'New features')",1,25,12.0
2014-01-26,"('General Category', 'Bugs')",1,25,5.0
2014-01-26,"('General Category', 'Product categories')",1,25,3.0
2014-01-26,"('Offtopic', 'Generic randomness')",1,25,10.0
2014-01-26,"('Official section', 'News')",1,25,1.0
2014-01-26,"('Official section', 'Info')",1,25,1.0
2014-01-26,"('General Category', 'Vendor discussion')",4,175,56.0
2014-02-03,"('General Category', 'General Discussion')",9,425,47.0
2014-02-03,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-02-03,"('General Category', 'Security discussion')",1,25,7.0
2014-02-03,"('General Category', 'Product offers')",1,25,24.0
2014-02-03,"('General Category', 'New features')",1,25,7.0
2014-02-03,"('General Category', 'Bugs')",1,25,3.0
2014-02-03,"('General Category', 'Product categories')",1,25,4.0
2014-02-03,"('Offtopic', 'Generic randomness')",1,25,6.0
2014-02-03,"('Official section', 'News')",1,25,1.0
2014-02-03,"('Official section', 'Info')",1,25,1.0
2014-02-03,"('General Category', 'Vendor discussion')",4,175,46.0
2014-02-05,"('General Category', 'General Discussion')",9,425,17.0
2014-02-05,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-02-05,"('General Category', 'Security discussion')",1,25,3.0
2014-02-05,"('General Category', 'Product offers')",2,75,13.0
2014-02-05,"('General Category', 'New features')",1,25,1.0
2014-02-05,"('General Category', 'Bugs')",1,25,2.0
2014-02-05,"('General Category', 'Product categories')",1,25,2.0
2014-02-05,"('Offtopic', 'Generic randomness')",1,25,4.0
2014-02-05,"('Official section', 'News')",1,25,1.0
2014-02-05,"('Official section', 'Info')",1,25,1.0
2014-02-05,"('General Category', 'Vendor discussion')",5,225,16.0
2014-02-10,"('General Category', 'General Discussion')",10,475,61.0
2014-02-10,"('General Category', 'Access vendor-only forum')",1,25,1.0
2014-02-10,"('General Category', 'Security discussion')",1,25,4.0
2014-02-10,"('General Category', 'Product offers')",2,75,22.0
2014-02-10,"('General Category', 'New features')",1,25,3.0
2014-02-10,"('General Category', 'Bugs')",1,25,2.0
2014-02-10,"('General Category', 'Product categories')",1,25,8.0
2014-02-10,"('Offtopic', 'Generic randomness')",1,25,2.0
2014-02-10,"('Official section', 'News')",1,25,1.0
2014-02-10,"('Official section', 'Info')",1,25,1.0
2014-02-10,"('General Category', 'Vendor discussion')",5,225,27.0
