,vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,hamming_SR,hamming_evo,hamming_c9,three_mkt,h_three_mkt,two_mkt,h_two_mkt,all_mkt,h_all_mkt,ag_and_dead_market,ag_and_evo_market,h_ag_only
0,uknextday,2014-04-06,2015-07-07, 2014-06-09, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
1,chemsdirect,2015-06-20,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2,chess,2014-02-23,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
3,hulken,2015-06-12,2015-06-26,,,,,,0,0,0,,0,,0,,0,0,0,1
4,perfectscans,2014-01-01,2015-06-30, 2014-06-09, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
5,gotmilk,2014-02-05,2015-07-07, 2014-06-25, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
6,alisdrugstore,2015-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
7,discover,2014-02-02,2015-07-07, 2014-06-09, 2015-03-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
8,bigskybuds,2014-07-18,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
9,~bigboy,2014-06-22,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
10,carlbildt,2014-02-23,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
11,colocures,2014-12-06,2015-07-07, 2015-02-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
12,bigralphexpress,2015-02-28,2015-07-07, 2015-02-21, 2015-03-16,1.0,,,0,1,0,,0,,1,,0,0,1,0
13,windowsmoke,2015-06-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
14,stardockgalix,2014-01-01,2015-07-07, 2014-06-20, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
15,maxhavelaar,2014-01-01,2015-07-07, 2014-06-09, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
16,elangaba,2015-06-20,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
17,fungusamongus,2015-03-29,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
18,qualitydrugs,2015-04-13,2015-07-07,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
19,2cbking,2015-04-23,2015-07-07, 2015-03-15, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
